"rank","n","percent","n_variables_missing","variables_missing"
1,843,42.62,1,"fab"
2,643,32.51,0,"complete on tabulated covariates"
3,78,3.94,2,"fab | race"
4,58,2.93,2,"fab | marrow_blasts"
5,42,2.12,1,"race"
6,39,1.97,9,"risk_group | flt3_itd | npm | cebpa | cns_disease | cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7"
7,29,1.47,1,"marrow_blasts"
8,20,1.01,3,"fab | race | ethnicity"
9,18,0.91,2,"fab | cns_disease"
10,17,0.86,2,"fab | peripheral_blasts"
11,15,0.76,2,"race | ethnicity"
12,15,0.76,3,"fab | cns_disease | marrow_blasts"
13,14,0.71,6,"risk_group | cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7 | primary_cytogenetic_code"
14,13,0.66,8,"risk_group | flt3_itd | npm | cebpa | cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7"
15,12,0.61,2,"fab | ethnicity"
16,11,0.56,1,"ethnicity"
17,9,0.46,3,"fab | marrow_blasts | race"
18,7,0.35,5,"cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7 | primary_cytogenetic_code"
19,7,0.35,7,"risk_group | fab | cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7 | primary_cytogenetic_code"
20,6,0.3,4,"cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7"
21,6,0.3,1,"npm"
22,6,0.3,14,"wbc_at_diagnosis | risk_group | flt3_itd | npm | cebpa | fab | cns_disease | marrow_blasts | peripheral_blasts | cytogenetics_t821 | cytogenetics_inv16 | cytogenetics_mll | cytogenetics_monosomy7 | primary_cytogenetic_code"
23,4,0.2,1,"peripheral_blasts"
24,4,0.2,2,"npm | cebpa"
